No.,Time,Source,Destination,Protocol,Length,Info,IsDDoS
1,0.0,fe80::428:4e44:b3ee:ce7e,ff02::1:ffe5:ff2c,ICMPv6,86,Neighbor Solicitation for fe80::109a:af4f:50e5:ff2c from 10:9f:41:bc:36:5f,0
2,0.108979,fe80::109a:af4f:50e5:ff2c,fe80::428:4e44:b3ee:ce7e,ICMPv6,86,"Neighbor Advertisement fe80::109a:af4f:50e5:ff2c (sol, ovr) is at b6:fa:26:2c:e5:5c",0
3,0.109109,fe80::428:4e44:b3ee:ce7e,fe80::109a:af4f:50e5:ff2c,UDP,66,3722  >  3722 Len=4,0
4,0.114886,fe80::109a:af4f:50e5:ff2c,fe80::428:4e44:b3ee:ce7e,ICMPv6,114,Destination Unreachable (Port unreachable),0
5,0.511138,fe80::231:92ff:fe64:cdbc,ff02::1,ICMPv6,78,Router Advertisement from 00:31:92:64:cd:bc,0
6,2.664236,192.168.1.103,224.0.0.251,MDNS,130,Standard query response 0x0000 PTR A2FDD48F-38A7-4EC4-BB26-D527827BA3B6._remotepairing._tcp.local,0
7,2.664237,fe80::109a:af4f:50e5:ff2c,ff02::fb,MDNS,150,Standard query response 0x0000 PTR A2FDD48F-38A7-4EC4-BB26-D527827BA3B6._remotepairing._tcp.local,0
8,3.586467,fe80::231:92ff:fe64:cdbc,ff02::1,ICMPv6,78,Router Advertisement from 00:31:92:64:cd:bc,0
9,3.792378,TPLink_64:cd:bc,Apple_bc:36:5f,ARP,42,Who has 192.168.1.100? Tell 192.168.1.1,0
10,3.792638,Apple_bc:36:5f,TPLink_64:cd:bc,ARP,42,192.168.1.100 is at 10:9f:41:bc:36:5f,0
11,9.782589,192.168.1.100,172.224.106.200,UDP,83,52389  >  443 Len=41,0
12,9.815832,172.224.106.200,192.168.1.100,UDP,74,443  >  52389 Len=32,0
13,10.555129,fe80::231:92ff:fe64:cdbc,ff02::1,ICMPv6,78,Router Advertisement from 00:31:92:64:cd:bc,0
14,11.277181,192.168.1.100,172.224.106.206,UDP,83,57719  >  443 Len=41,0
15,11.30424,172.224.106.206,192.168.1.100,UDP,73,443  >  57719 Len=31,0
16,12.572445,192.168.1.100,172.224.106.200,UDP,83,52389  >  443 Len=41,0
17,12.572652,192.168.1.100,172.224.106.200,UDP,112,52389  >  443 Len=70,0
18,12.57374,192.168.1.100,142.250.187.174,UDP,71,59262  >  443 Len=29,0
19,12.600452,172.224.106.200,192.168.1.100,UDP,75,443  >  52389 Len=33,0
20,12.628818,172.224.106.200,192.168.1.100,UDP,99,443  >  52389 Len=57,0
21,12.632163,142.250.187.174,192.168.1.100,UDP,69,443  >  59262 Len=27,0
22,12.658018,192.168.1.100,172.224.106.200,UDP,87,52389  >  443 Len=45,0
23,13.58861,192.168.1.100,152.199.19.161,TCP,66,"52322  >  443 [FIN, ACK] Seq=1 Ack=1 Win=2048 Len=0 TSval=2122321355 TSecr=3975209686",0
24,13.623576,152.199.19.161,192.168.1.100,TCP,66,"443  >  52322 [FIN, ACK] Seq=1 Ack=2 Win=133 Len=0 TSval=3975309729 TSecr=2122321355",0
25,13.623757,192.168.1.100,152.199.19.161,TCP,66,52322  >  443 [ACK] Seq=2 Ack=2 Win=2047 Len=0 TSval=2122321391 TSecr=3975309729,0
26,13.781595,192.168.1.100,104.17.249.203,TCP,54,52408  >  443 [ACK] Seq=1 Ack=1 Win=9139 Len=0,0
27,13.805112,104.17.249.203,192.168.1.100,TCP,66,[TCP ACKed unseen segment] 443  >  52408 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=4192606560 TSecr=342391536,0
28,13.882807,192.168.1.100,172.217.20.74,TCP,54,52409  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0,0
29,13.913348,172.217.20.74,192.168.1.100,TCP,66,[TCP ACKed unseen segment] 443  >  52409 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=3978478448 TSecr=1389010837,0
30,13.984024,192.168.1.100,142.251.140.74,TCP,54,52406  >  443 [ACK] Seq=1 Ack=1 Win=7404 Len=0,0
31,14.015455,142.251.140.74,192.168.1.100,TCP,66,[TCP ACKed unseen segment] 443  >  52406 [ACK] Seq=1 Ack=2 Win=269 Len=0 TSval=2266732809 TSecr=1848851687,0
32,14.084659,192.168.1.100,172.217.17.131,TCP,54,52413  >  443 [ACK] Seq=1 Ack=1 Win=3544 Len=0,0
33,14.115217,172.217.17.131,192.168.1.100,TCP,66,[TCP ACKed unseen segment] 443  >  52413 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2769434450 TSecr=1596027702,0
34,14.185689,192.168.1.100,216.58.212.3,TCP,54,52416  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0,0
35,14.185784,192.168.1.100,172.217.17.234,TCP,54,52411  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0,0
36,14.216502,216.58.212.3,192.168.1.100,TCP,66,[TCP ACKed unseen segment] 443  >  52416 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2662752308 TSecr=1856695896,0
37,14.21716,172.217.17.234,192.168.1.100,TCP,66,[TCP ACKed unseen segment] 443  >  52411 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=358049115 TSecr=2280339808,0
